Date,Close
1/2/18,13.83
1/3/18,12.61
1/4/18,12.05
1/5/18,11.72
1/8/18,10.84
1/9/18,11.26
1/10/18,11.21
1/11/18,11.41
1/12/18,11.39
1/16/18,9.67
1/17/18,8.85
1/18/18,8.83
1/19/18,8.48
1/22/18,8.48
1/23/18,8.45
1/24/18,8.23
1/25/18,7.9
1/26/18,7.78
1/29/18,7.27
1/30/18,7.29
1/31/18,7.32
2/1/18,6.61
2/2/18,6.33
2/5/18,5.94
2/6/18,6.96
2/7/18,6.74
2/8/18,6.4
2/9/18,6.37
2/12/18,6.8
2/13/18,6.56
2/14/18,6.84
2/15/18,6.7
2/16/18,6.41
2/20/18,6.51
2/21/18,6.32
2/22/18,6.07
2/23/18,5.99
2/26/18,6.18
2/27/18,5.99
2/28/18,5.83
3/1/18,5.46
3/2/18,5.26
3/5/18,5.27
3/6/18,5.7
3/7/18,6.11
3/8/18,10.49
3/9/18,10.29
3/12/18,13.5
3/13/18,12.08
3/14/18,10.3
3/15/18,9.02
3/16/18,9.58
3/19/18,8.87
3/20/18,8.67
3/21/18,8.58
3/22/18,8.09
3/23/18,7.75
3/26/18,7.64
3/27/18,7.18
3/28/18,6.99
3/29/18,6.96
4/2/18,6.32
4/3/18,6.38
4/4/18,6.67
4/5/18,8.87
4/6/18,7.33
4/9/18,7.35
4/10/18,7.17
4/11/18,7.39
4/12/18,8.05
4/13/18,9.49
4/16/18,8.89
4/17/18,8.87
4/18/18,8.77
4/19/18,8.69
4/20/18,8.65
4/23/18,9.44
4/24/18,9.66
4/25/18,8.84
4/26/18,8.02
4/27/18,7.98
4/30/18,7.93
5/1/18,8.4
5/2/18,8.41
5/3/18,8.7
5/4/18,8.23
5/7/18,8.43
5/8/18,8.2
5/9/18,8.3
5/10/18,8.31
5/11/18,8.05
5/14/18,7.8
5/15/18,7.89
5/16/18,7.69
5/17/18,7.73
5/18/18,7.73
5/21/18,7.71
5/22/18,7.57
5/23/18,7.45
5/24/18,7.47
5/25/18,7.36
5/29/18,7.11
5/30/18,7.03
5/31/18,6.71
6/1/18,7.05
6/4/18,6.85
6/5/18,6.76
6/6/18,6.49
6/7/18,6.48
6/8/18,7.4
6/11/18,7.83
6/12/18,7.85
6/13/18,7.77
6/14/18,7.92
6/15/18,8.71
6/18/18,8.08
6/19/18,8.15
6/20/18,7.94
6/21/18,7.51
6/22/18,7.49
6/25/18,7.25
6/26/18,7.28
6/27/18,6.88
6/28/18,7.06
6/29/18,7.35
7/2/18,7.55
7/3/18,7.23
7/5/18,7.39
7/6/18,7.39
7/9/18,7.39
7/10/18,7.21
7/11/18,7.56
7/12/18,7.75
7/13/18,7.97
7/16/18,7.61
7/17/18,8.36
7/18/18,7.6
7/19/18,7.71
7/20/18,7.78
7/23/18,7.67
7/24/18,7.85
7/25/18,7.67
7/26/18,7.67
7/27/18,7.26
7/30/18,7.15
7/31/18,7.15
8/1/18,7.07
8/2/18,7.06
8/3/18,7.02
8/6/18,6.94
8/7/18,6.98
8/8/18,6.94
8/9/18,7.09
8/10/18,7.09
8/13/18,7.33
8/14/18,7.3
8/15/18,7.32
8/16/18,7.02
8/17/18,6.87
8/20/18,5.95
8/21/18,6.01
8/22/18,6.11
8/23/18,6.02
8/24/18,6.03
8/27/18,5.94
8/28/18,6.25
8/29/18,6.2
8/30/18,6.28
8/31/18,6.21
9/4/18,6.14
9/5/18,6.07
9/6/18,6.05
9/7/18,5.87
9/10/18,5.72
9/11/18,5.93
9/12/18,5.78
9/13/18,5.85
9/14/18,5.8
9/17/18,5.75
9/18/18,5.6
9/19/18,5.36
9/20/18,5.45
9/21/18,5.5
9/24/18,5.45
9/25/18,5.48
9/26/18,5.3
9/27/18,5.4
9/28/18,5.39
10/1/18,5.35
10/2/18,4.75
10/3/18,4.68
10/4/18,4.68
10/5/18,4.64
10/8/18,4.25
10/9/18,4.16
10/10/18,3.99
10/11/18,3.77
10/12/18,3.84
10/15/18,3.96
10/16/18,4.04
10/17/18,3.91
10/18/18,3.78
10/19/18,4.01
10/22/18,6.15
10/23/18,5.39
10/24/18,5.04
10/25/18,5.05
10/26/18,4.85
10/29/18,4.72
10/30/18,4.66
10/31/18,4.57
11/1/18,5.42
11/2/18,5.25
11/5/18,5.59
11/6/18,6.12
11/7/18,6.55
11/8/18,5.9
11/9/18,6.13
11/12/18,5.85
11/13/18,6.04
11/14/18,6.38
11/15/18,6.5
11/16/18,6.28
11/19/18,6.53
11/20/18,6.39
11/21/18,6.02
11/23/18,6.09
11/26/18,6.24
11/27/18,6.24
11/28/18,6.44
11/29/18,6.85
11/30/18,7.13
12/3/18,7.73
12/4/18,8.83
12/6/18,9.05
12/7/18,8.12
12/10/18,7.68
12/11/18,7.98
12/12/18,7.9
12/13/18,7.03
12/14/18,7.12
